Station Name,Longitude,Latitude,Climate ID,Province,Year,Month,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,province
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,10,9.1,14.0,,20.1,13.0,-2.7,8.0,,,,2.8,14.0,,,2.0,,,,151.3,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,11,3.7,7.0,,16.2,7.0,-7.5,3.0,,,,32.6,6.0,,,7.0,,,,328.4,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,12,-1.4,4.0,,13.1,4.0,-10.4,2.0,,,,52.4,3.0,,,6.0,,,,523.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,1,-5.8,0.0,,3.1,0.0,-16.7,0.0,,,,68.2,0.0,,,17.0,,,,739.2,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,2,-6.0,0.0,,9.2,0.0,-23.8,0.0,,,,77.8,1.0,,,8.0,,,,671.7,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,3,-1.6,0.0,,12.4,0.0,-12.1,0.0,,,,64.4,1.0,,,7.0,,,,609.1,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,4,3.4,0.0,,11.8,0.0,-3.8,0.0,,,,134.0,2.0,,,12.0,,,,438.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,5,9.3,1.0,,25.3,1.0,-0.9,0.0,,,,64.2,1.0,,,9.0,,,,260.6,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,6,13.1,3.0,,24.3,3.0,1.2,2.0,,,,46.6,3.0,,,10.0,,,,131.4,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,7,16.9,1.0,,26.3,1.0,6.8,1.0,,,,70.6,2.0,,,7.0,,,,44.7,12.3,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,8,17.9,0.0,,28.7,0.0,4.7,0.0,,,,32.8,0.0,,,5.0,,,,34.4,31.2,NS
