ClimateID,Date/Time,EventType,MaxGust_kmh,P95_Threshold,ExtremeFlag
8200255,2009-02-20,Extreme Wind,85.0,83.0,1
8200255,2009-02-22,Extreme Wind,85.0,83.0,1
8200255,2009-02-23,Extreme Wind,91.0,83.0,1
8200255,2009-04-07,Extreme Wind,87.0,83.0,1
8200255,2009-07-15,Extreme Wind,141.0,83.0,1
8200255,2009-08-23,Extreme Wind,85.0,83.0,1
8200255,2009-10-16,Extreme Wind,85.0,83.0,1
8200255,2009-10-18,Extreme Wind,85.0,83.0,1
8200255,2009-12-09,Extreme Wind,96.0,83.0,1
8200255,2009-12-11,Extreme Wind,104.0,83.0,1
8200255,2009-12-12,Extreme Wind,85.0,83.0,1
8200255,2009-12-20,Extreme Wind,93.0,83.0,1
8200255,2009-12-30,Extreme Wind,83.0,83.0,1
8200255,2010-01-18,Extreme Wind,89.0,83.0,1
8200255,2010-01-29,Extreme Wind,85.0,83.0,1
8200255,2010-02-10,Extreme Wind,87.0,83.0,1
8200255,2010-02-11,Extreme Wind,83.0,83.0,1
8200255,2010-02-25,Extreme Wind,95.0,83.0,1
8200255,2010-02-26,Extreme Wind,93.0,83.0,1
8200255,2010-02-28,Extreme Wind,106.0,83.0,1
8200255,2010-09-04,Extreme Wind,102.0,83.0,1
8200255,2010-10-15,Extreme Wind,100.0,83.0,1
8200255,2010-11-20,Extreme Wind,87.0,83.0,1
8200255,2010-12-06,Extreme Wind,91.0,83.0,1
8200255,2010-12-13,Extreme Wind,96.0,83.0,1
8200255,2010-12-26,Extreme Wind,87.0,83.0,1
8200255,2010-12-27,Extreme Wind,87.0,83.0,1
8200255,2011-01-12,Extreme Wind,104.0,83.0,1
8200255,2011-01-21,Extreme Wind,91.0,83.0,1
8200255,2011-01-27,Extreme Wind,89.0,83.0,1
8200255,2011-02-02,Extreme Wind,85.0,83.0,1
8200255,2011-02-06,Extreme Wind,107.0,83.0,1
8200255,2011-02-09,Extreme Wind,89.0,83.0,1
8200255,2011-02-25,Extreme Wind,93.0,83.0,1
8200255,2011-02-26,Extreme Wind,87.0,83.0,1
8200255,2011-04-01,Extreme Wind,83.0,83.0,1
8200255,2011-10-29,Extreme Wind,83.0,83.0,1
8200255,2011-10-30,Extreme Wind,106.0,83.0,1
8200255,2011-11-23,Extreme Wind,89.0,83.0,1
8200255,2011-12-08,Extreme Wind,98.0,83.0,1
8200255,2011-12-29,Extreme Wind,87.0,83.0,1
8200255,2012-01-12,Extreme Wind,93.0,83.0,1
8200255,2012-01-13,Extreme Wind,104.0,83.0,1
8200255,2012-01-14,Extreme Wind,93.0,83.0,1
8200255,2012-02-25,Extreme Wind,91.0,83.0,1
8200255,2012-03-01,Extreme Wind,83.0,83.0,1
8200255,2012-06-04,Extreme Wind,85.0,83.0,1
